Batch,Heigh(µm),Spacing(µm),Span(µm)
Batch 1,193.13381740941222,508.3097081244039,86.78211777052766
Batch 1,168.18734390680336,437.7210142056439,84.44595041293678
Batch 1,165.465532679859,600.2085095617317,80.41163009031595
Batch 1,200.3490607794056,532.8833967740323,83.43169856860554
Batch 1,237.15024316301336,547.6787974321608,80.5156024860672
Batch 1,173.53315672600908,416.2551078517529,108.82161902938228
Batch 1,190.33911908986522,535.3940866937163,99.0450432531508
Batch 1,171.29636209258402,638.7173539137633,79.03672435338427
Batch 1,274.21015278614266,567.0188680544853,93.8586769126129
Batch 1,255.12947627130887,545.0632563949264,95.31372529069913
Batch 1,176.54080902945782,439.0459347571452,104.04040931868664
Batch 1,171.49629558476192,609.1276772342444,86.53367013777157
Batch 1,191.65493104822073,483.81163413490026,102.57550820418359
Batch 1,233.83731573395332,510.5831928705259,84.05838350706676
Batch 1,248.6246284935405,499.12922328919296,91.57214993071564
Batch 1,225.94160328052436,461.33910133574517,82.93685711625444
Batch 1,185.62021325443658,603.2468863457042,96.19536631916051
Batch 1,207.65578015670866,598.3081105546328,79.01230850108762
Batch 1,174.5870861613561,563.4256398653023,77.8350885797079
Batch 1,223.92447808600576,427.3680465377286,86.50346276990533
Batch 1,224.37101345142582,653.3611392858812,99.14414188681627
Batch 1,229.33711087290322,521.2100748600186,96.50145462242229
Batch 1,172.42509710485893,558.6643403768333,98.07566144039363
Batch 1,163.2925895233106,461.28371508177077,77.00066054302242
Batch 1,186.77501932884266,426.5336728664322,93.08031701209637
Batch 1,234.52971577064795,497.0034388993869,88.42928073223906
Batch 1,204.04701626504303,634.3278268698789,104.4958970827445
Batch 1,170.105838369003,457.5387968982032,99.10222902893489
Batch 1,261.2274748580613,491.75180366211185,90.39066190772732
Batch 1,230.2944629295456,542.2413704787717,105.0471490651756
Batch 1,187.35321809662503,594.1380195076413,100.70219676818331
Batch 1,244.5851677805137,417.3863363846161,97.77779704634075
Batch 1,203.87613891188118,635.7905094572176,87.81283696219027
Batch 1,250.46470616820423,420.5897595147722,78.03202946316597
Batch 1,202.9186841642578,540.0712975749655,93.55901244896103
Batch 1,225.31492470581088,436.55685649691304,103.04433668843616
Batch 1,244.01167675988063,486.39516940783017,103.29991097324287
Batch 1,202.9159927497665,587.8426128094164,94.34945228633018
Batch 1,239.36839543574942,418.6694979299034,95.3657192050136
Batch 1,247.5875754237842,622.2988366650295,90.63980569532181
Batch 1,217.0165501281645,582.6711878964253,105.50002702253732
Batch 1,193.0131537361421,541.6735873103213,100.97578088058138
Batch 1,254.24997124409,584.8798345277269,82.54908905533227
Batch 1,225.79831866189213,555.6773211514547,94.29084082226427
Batch 1,234.2987459698967,492.61806977911095,90.32598031800387
Batch 1,159.66245097097007,555.6124260788436,109.36571667342562
Batch 1,197.87802823216083,521.9773472878737,82.69354878385775
Batch 1,187.43963026248193,589.8185384805683,84.02535584417667
Batch 1,216.2744416815167,453.2534043730511,78.52714705312388
Batch 1,229.7020609354086,541.2031198977509,99.78050509175822
Batch 1,222.9842580029366,450.215433485542,94.60209612312876
Batch 1,214.22219034597393,534.2497373895886,89.94489125468627
Batch 1,256.7855188624003,530.0045286542136,90.9139069907454
Batch 1,209.64541189340287,539.7557028831759,100.34292687767902
Batch 1,169.0943660667989,530.1098293570647,78.22212652365592
Batch 1,231.56188134768544,469.9771791700151,93.57665066721387
Batch 1,197.8185672229485,523.4191621710736,111.93337550690927
Batch 1,236.05417689971733,464.91057928099764,80.92951825238764
Batch 1,244.0262392928276,490.1436769743477,105.66310647196119
Batch 1,275.2316900016033,564.7611176362685,87.88140240382727
Batch 1,243.8336512777069,506.92543043758684,98.82531694566683
Batch 1,179.73537868145723,611.0521208115199,76.03057512458213
Batch 1,178.95038563162606,585.8921671881371,76.39637714214987
Batch 1,196.0375060949076,489.6920958816773,92.09573234851784
Batch 1,182.98044451299793,489.98450235661835,101.26297822164793
Batch 1,250.1466915946039,530.3346842894273,85.56274596651433
Batch 1,222.59665891703202,413.20913802203097,90.78883052302189
Batch 1,235.2429400313169,552.8703973568284,85.69746230532878
Batch 1,217.49804377132128,552.033077031439,88.0517674181524
Batch 1,250.32442143886448,454.731755268158,86.70812540156399
Batch 1,224.20596936958327,481.2825865338625,105.63411115751721
Batch 1,242.37233407132732,452.05152712115233,83.97495732946416
Batch 1,250.24946810673313,633.89465072224,91.18032494833616
Batch 1,245.75450937686117,491.4499365363987,97.4815341294478
Batch 1,174.10574836534994,587.0439014628556,88.77097775792855
Batch 1,213.20108843125965,457.1090466894904,94.6189775010788
Batch 1,176.38137141067517,434.64415929896836,92.9501812580265
Batch 1,166.03418134296703,638.255178780534,102.82144418455923
Batch 1,254.20083084075156,490.92480333562156,87.57460989580181
Batch 1,255.66340331515548,483.79882239634594,91.14815907709698
Batch 1,234.31688364073665,546.9883772997392,101.81528413052281
Batch 1,211.47574407349228,615.4797729450324,85.13330512576371
Batch 1,184.8519480599362,477.53555055640425,85.66914377677425
Batch 1,201.68913393736602,510.4336411683413,94.30795556222569
Batch 1,265.1996347014883,502.0456006407352,79.01879010131088
Batch 1,162.64935301966543,514.263823752578,111.4173094757183
Batch 1,169.07503764187803,513.6946980024952,87.54951974576714
Batch 1,180.62143940092704,472.44435981325046,81.57541947665649
Batch 1,213.40137150443485,618.9013951299587,86.32868167971198
Batch 1,240.79051702711212,453.3130286084671,96.66542676061843
Batch 1,246.9048921951652,565.3748342698593,98.00546703992204
Batch 1,236.7613512850392,513.2458633913292,93.13414695161066
Batch 1,263.44181139268244,484.13734790112153,81.6356512111832
Batch 1,241.35652550964252,530.5757966182668,77.50583867693297
Batch 1,256.5603381314557,497.6136406846318,98.00489206276504
Batch 1,191.4451331552589,447.04925879063484,97.11990238322558
Batch 1,179.24455024951507,500.7202601223452,99.94064779119003
Batch 1,201.73613703491588,555.1801718411415,96.74434398880076
Batch 1,262.62991450329554,422.05322494053826,97.03490319490652
Batch 1,225.11052097047673,513.1059828961595,109.89268015369741
Batch 1,241.86546118383572,500.57486840212005,83.93307493647025
Batch 1,237.68561221628306,471.79533692541736,97.58857241831954
Batch 1,235.831035442435,603.5742057046386,85.18472145486336
Batch 1,221.97613855829127,471.1101728694934,86.88624324422312
Batch 1,195.11378197500397,551.6774020852921,77.8668971433349
Batch 1,221.0179878595604,509.32954464987904,88.75194275479885
Batch 1,234.6428959503163,440.73754511409123,79.06433711522217
Batch 1,197.261388051503,545.8110439862858,87.09223970715009
Batch 1,185.38607469799288,584.4286271105915,82.15017366115913
Batch 1,169.4159888272887,520.1870756394252,75.096544682552
Batch 1,236.97797964787338,601.0872011298715,101.22095595265893
Batch 1,182.12658771600513,575.1262819543108,91.69728901740143
Batch 1,194.67983308589424,546.8778873581607,72.95671094703475
Batch 1,267.4510139805323,542.4863766269307,90.4481421066565
Batch 1,155.8080846737978,553.2847566442156,101.53904952787752
Batch 1,167.6152209437335,530.5802965616843,101.06186722189523
Batch 1,205.26867123539424,504.14366482675973,97.60336189927322
Batch 1,270.1361506165053,620.6988748939642,93.12783113446365
Batch 1,269.15924440036616,439.3741492298919,98.58815928229309
Batch 1,186.53332423451153,536.2091088320009,100.70335168965389
Batch 1,204.51334130042326,658.1339901670814,93.89531563585547
Batch 1,180.85312415618853,526.7744774170845,87.82314129419859
Batch 1,202.6854851082779,609.4101859861755,104.28762639462448
Batch 1,236.6101608023621,567.9090765768224,89.17001867347452
Batch 1,231.48890592876137,563.3528726285546,98.82610338098911
Batch 1,184.7448342701149,542.3712535062582,96.84098219632264
Batch 1,233.64609150358012,610.0179304076551,88.50735914585005
Batch 1,272.89843108100035,558.3399874759084,81.27061497559396
Batch 1,184.99848078180415,559.6710796450781,87.38899857272564
Batch 1,203.17973622212676,522.370816585272,94.19149294912438
Batch 1,238.61279406707644,599.6664639568816,83.4579437899385
Batch 1,200.71659234545277,518.7250086028847,93.97115734275415
Batch 1,267.3893508322819,459.1673034756575,77.76796052558302
Batch 1,217.60188649015788,464.77269311624656,97.67593763658493
Batch 1,209.15013922330704,541.1380128910448,102.74614442930218
Batch 1,176.22834708048026,607.0266626966637,98.72491461148263
Batch 1,201.43689492972092,474.2646500793182,85.94536057928315
Batch 1,246.9461117243776,486.5873011510941,89.18824518553404
Batch 1,198.40680334625193,478.34940681704506,77.56054173666807
Batch 1,175.9419707058773,561.4677135477698,80.43654256129264
Batch 1,189.39597874576918,466.5329391780242,98.21119227996138
Batch 1,206.49612538336658,533.2701435664878,97.14856218367598
Batch 1,197.84259273282882,534.2031333732986,109.79152741579108
Batch 1,239.4369698486097,582.0180096469242,91.9677915429467
Batch 1,259.58356504763145,426.7394603518132,80.26399222179613
Batch 1,193.39140318355575,589.9778015870609,109.55453088213243
Batch 1,236.0536325106553,561.6092899735843,86.90464284962692
Batch 1,168.313601676811,565.4935693621196,101.92601795393874
Batch 1,193.05860893289451,493.96734493207606,104.55694348373416
Batch 1,263.8532792821877,469.31462177231543,107.29131465724055
Batch 1,256.58613668136667,549.1065061224085,107.90468811218477
Batch 1,218.93751149448863,552.972249637548,84.16175109111799
Batch 1,249.65456533638346,552.8139283999558,91.4871111216174
Batch 1,224.4937825583023,484.61115808229385,96.6405192137273
Batch 1,207.7469060428297,429.48041006741227,90.16084157103252
Batch 1,214.79069572187285,501.2584193034006,97.21887246026134
Batch 1,157.55281670112188,524.8945996922299,96.99166241523811
Batch 1,240.41810033869046,508.70827825213325,99.63811058540365
Batch 1,230.94852568227265,528.6704674672773,98.57747219155596
Batch 1,211.78544563449313,535.5270519388297,93.27735299399937
Batch 1,234.56914701143504,579.6382754195776,97.9062788209628
Batch 1,195.97313411851445,525.5335806463958,74.9981403283468
Batch 1,244.37431268362042,517.3338186345361,98.29115789193024
Batch 1,175.36457832144103,450.58615518587453,88.17225399260253
Batch 1,207.58127782959878,459.1717305743868,85.58129414649706
Batch 1,171.28966016360835,485.6806004378165,88.67475820435472
Batch 1,232.75537043682846,645.2089636886847,88.31873939167453
Batch 1,250.5787914290092,432.2917596990423,83.28219838406471
Batch 1,164.8293276545269,513.0659510605398,107.81353713787018
Batch 1,255.65432999101685,450.48747315916705,82.2344267163421
Batch 1,220.28583164644942,531.2886109029836,101.17262585836362
Batch 1,213.53435862844464,424.5820665321483,71.85618947908755
Batch 1,225.9732071805634,516.1729083552055,107.75463650398626
Batch 1,251.20964162517177,586.5729422058226,88.38151315887535
Batch 1,195.83718043340002,468.4563571244712,71.79303400166398
Batch 1,253.75835214148438,500.690733279355,86.8366453342144
Batch 1,234.77401821744897,531.4480735156731,97.19488333420507
Batch 1,226.85795514627108,505.8238493924533,89.11037539351179
Batch 1,194.63678373744554,552.3990365778343,83.70069839347282
Batch 1,266.58452465623486,443.9190993247208,87.24132313798373
Batch 1,203.70204353038986,502.02341660302824,83.51697796585876
Batch 1,176.49857189987327,519.2884598028215,94.49017578878964
Batch 1,215.84682965746669,447.2420781639274,89.15267596744825
Batch 1,253.15244637895498,401.9309738192867,99.5348420187376
Batch 1,197.1014303395513,578.2156930079486,96.29406066027305
Batch 1,236.11897385951517,606.5137356564254,76.97394443235702
Batch 1,198.7927101159592,559.5240261000802,77.56791481364061
Batch 1,182.40181147833812,505.06741151830533,93.65399660020444
Batch 1,252.71417409277245,580.7454839105058,108.54473124653637
Batch 1,241.5960938794723,490.45740201938105,98.37756787993642
Batch 1,226.2403647761563,425.5297463919983,81.57050307152882
Batch 1,200.16814671356676,474.59864700432905,87.08448808529165
Batch 1,222.88946072858658,545.5858223902434,89.55955905069212
Batch 1,278.58761671043703,542.6834226501747,93.60165203764589
Batch 1,245.70488706479063,505.47038015118557,91.25047860191503
Batch 1,206.10148094730266,458.2736941828196,98.25397448821795
Batch 1,194.88330892882706,594.8639601499654,84.51739548677229
Batch 1,181.1311699521638,458.14814199738066,104.78221193089246
Batch 1,254.10378154774463,522.5693060384037,97.18585990945907
Batch 1,208.15404335070548,500.70280741312865,89.31120921083905
Batch 1,250.47387843388836,475.3806893961141,94.29672326619622
Batch 1,209.51521885538722,524.1186698381176,91.23981340301447
Batch 1,150.0,494.61642823768045,99.4354666029824
Batch 1,166.24148228075995,491.26552017711015,84.44619292559018
Batch 1,189.78006715362238,623.1634212720746,85.41574166776813
Batch 1,195.62979534481937,419.94982097267865,77.82328502644667
Batch 1,266.567707537944,423.12741372022606,83.16130222807735
Batch 1,233.28067802119187,542.2191028327557,108.16185159693475
Batch 1,215.2041562530937,490.0838720248762,95.20528050488261
Batch 1,236.65544759272058,475.81697468307186,91.47975488472149
Batch 1,263.3858263833247,589.3638435799685,84.97069458983525
Batch 1,239.7415314677348,623.2393796317759,91.0723427946181
Batch 1,206.85007020499808,513.5825703485698,97.38365931627072
Batch 1,181.81193520907127,496.8193393049847,71.43465263733287
Batch 1,197.66574376129233,587.9673783036809,95.62915279332141
Batch 1,212.57922799806622,480.229858467002,108.87197226264115
Batch 1,204.49141727444905,408.16768417910066,84.39608319466737
Batch 1,228.6488332335444,520.6918993811095,73.29838784734734
Batch 1,226.18638971657774,524.7950483857518,76.97967547625166
Batch 1,188.6158056978556,512.3399047110481,86.38193391443758
Batch 1,217.25466028599072,572.1827646385779,99.6028466034287
Batch 1,236.29310111502627,452.15444519999926,81.52633180272555
Batch 1,239.46650727849328,571.5252184739201,90.634695872565
Batch 1,187.16149159938928,428.45405539480697,87.82842355932547
Batch 1,213.91443397219365,492.0300437670815,88.71166738201453
Batch 1,237.18955829150457,524.7047242666788,98.8564028868918
Batch 1,178.56343954294388,543.1065820602771,96.12813676845963
Batch 1,276.5700528722894,460.4813259359336,97.43066668024807
Batch 1,262.27709264542614,556.0199709995682,90.77800832781008
Batch 1,175.53396808219756,432.6495071958774,88.52742004948176
Batch 1,205.09396219957037,432.80830970918214,97.23560394234063
Batch 1,228.57990293900968,543.5516682537736,111.09102953502764
Batch 1,156.9662990571019,426.4075200529389,80.8198243321633
Batch 1,261.53293499148594,563.3583186143126,89.57310163795582
Batch 1,203.57612967710017,489.88748803854793,73.75144513181247
Batch 1,238.67784196357707,554.1240552494206,89.56194355311891
Batch 1,223.7261514463147,578.8963154033079,94.48148689939032
Batch 1,229.66017721654484,559.7612245752705,92.05841496061203
Batch 1,206.51425670461492,463.6459761943501,100.44208370214686
Batch 1,214.24533046611975,513.4480571798583,79.06933455090609
Batch 1,211.43876652433062,548.6076765279769,80.28888267548575
Batch 1,207.07145814901997,610.2952006103458,88.20655021073048
Batch 1,247.13590603999853,479.04771781640886,77.70395706440799
Batch 1,237.7635376698466,578.427430279069,108.33911251554491
Batch 1,211.8522363334319,624.9549281728873,91.89911549134646
Batch 1,256.2956230400747,446.72771666847314,92.14963345751949
Batch 1,218.02921670657375,578.8906844696909,102.16396396979621
Batch 1,196.66870338438218,613.7862571923399,84.93485128992391
Batch 1,231.9649641989164,530.5767288807721,97.88926690296707
Batch 1,218.41412913145967,555.9525297227234,91.42305693172145
Batch 1,206.68562042815816,579.8132766506834,80.06108960277162
Batch 1,214.03963785567242,642.3251217508143,98.16318134240343
Batch 1,229.27407800677258,551.3348141641703,102.71423175097834
Batch 1,236.7796638791723,422.7062091974749,74.1119377997281
Batch 1,209.21376738777485,475.8370488114948,100.16459864872085
Batch 1,265.3884328083396,524.185256685116,71.52222891199742
Batch 1,171.5311179315444,546.3365356143298,82.07392122986992
Batch 1,196.23407344718035,451.2514481194781,79.01852570828272
